Index	Level	Language	Sentence	Normalized	Corrected	Clause_type	Verb_type	Error_type	Clause_structure	Confidence
1	A2	Arabisch	Kunnen wandelen wij?	Kunnen wandelen wij?	Kunnen wij wandelen?	p	nf	verb-final	fv nfv s	5
2	A2	Arabisch	Bovendien wij de musea kunnen bezoeken, ik denk dat de Chocolade museum in Brussel uitstekend is.	Bovendien wij de musea kunnen bezoeken.	Bovendien kunnen wij de musea bezoeken.	m	f	verb-second	a s o fv nfv	5
3	B1	Italiaans	Ik moet mijn best doen want ik will niet mijn moeder teleurstellen.	Ik moet mijn best doen want ik wil niet mijn moeder teleurstellen.	Ik moet mijn best doen want ik wil mijn moeder niet teleurstellen.	m	0	misc	0	5
4	B1	Italiaans	Ik wil een nuttig raad je geven.	Ik wil een nuttig raad je geven.	Ik wil je een nuttig raad geven.	m	0	misc	0	5
5	B2	Russisch	Ouders die zichzelf kwetsbaar in Coronacrisis voelen, kunnen weinig psychologische hulp aan zijn kind aanbieden, kunnen geen motivatieproblemen op te lossen omdat ze in dezelfde situatie zijn.	Ouders die zichzelf kwetsbaar tijdens de coronacrisis voelen, kunnen weinig psychologische hulp hun kind aanbieden en kunnen geen motivatieproblemen oplossen omdat ze in dezelfde situatie zitten.	Ouders die zichzelf tijdens de coronacrisis kwetsbaar voelen, kunnen hun kind weinig psychologische hulp aanbieden en kunnen geen motivatieproblemen oplossen omdat ze in dezelfde situatie zitten.	s	0	misc	0	3
5	B2	Russisch	Ouders die zichzelf kwetsbaar in Coronacrisis voelen, kunnen weinig psychologische hulp aan zijn kind aanbieden, kunnen geen motivatieproblemen op te lossen omdat ze in dezelfde situatie zijn.	Ouders die zichzelf kwetsbaar tijdens de coronacrisis voelen, kunnen weinig psychologische hulp hun kind aanbieden en kunnen geen motivatieproblemen oplossen omdat ze in dezelfde situatie zitten.	Ouders die zichzelf tijdens de coronacrisis kwetsbaar voelen, kunnen hun kind weinig psychologische hulp aanbieden en kunnen geen motivatieproblemen oplossen omdat ze in dezelfde situatie zitten.	m	0	misc	0	3
6	B2	Russisch	Maar wat, wanneer en hoeveel heeft kind op een bepaalde manier nodig kent allen hun ouder.	Maar wat, wanneer en hoeveel heeft een kind op een bepaalde manier nodig, weet alleen zijn ouder.	Maar wat, wanneer en hoeveel een kind op een bepaalde manier nodig heeft, weet alleen zijn ouder.	s	f	verb-final	se fv s a a	4
7	B2	Russisch	Op dat manier kon ik na de zomervakantie in een korte tijd terug naar het onderwijs system zonder leerachterstand komen.	Op die manier kon ik na de zomervakantie binnen een korte tijd terug naar het onderwijs systeem zonder leerachterstand komen.	Op die manier kon ik na de zomervakantie binnen een korte tijd zonder leerachterstand terug naar het onderwijs systeem komen.	m	0	misc	0	2
8	B1	Frans	Dat is inderdaad beter dat je niet Kim sport te doen dwingt.	Dat is inderdaad beter dat je Kim niet te sporten dwingt.	Dat is inderdaad beter dat je Kim niet dwingt te sporten.	s	ic	post-verbal	se s o a te nfv fv	2
10	B1	Frans	Ik denk dat is een goed idee dat je en jouw dochter naar school fietsen.	Ik denk dat dat is een goed idee dat jij en jouw dochter naar school fietsen.	Ik denk dat dat een goed idee is dat jij en jouw dochter naar school fietsen.	s	f	verb-final	se s fv o	3
11	B1	Frans	Ik denk dat is ook een goed idee een fitness coach te zien.	Ik denk dat het is ook een goed idee om een fitness coach te zien.	Ik denk dat het ook een goed idee is om een fitness coach te zien.	s	f	verb-final	se s fv a o	3
12	B1	Frans	Dat werked wel voor me als het moeilijk schermenclub vinden was.	Dat werkte goed voor mij toen het moeilijk om een schermenclub te vinden was.	Dat werkte goed voor mij toen het moeilijk was om een schermenclub te vinden.	s	ic	post-verbal	se s a om o te nfv fv	1
14	B1+	Spaans	De mensen die wonen in dorpen zijn zo conservatief.	De mensen die wonen in dorpen zijn zo conservatief.	De mensen die in dorpen wonen zijn zo conservatief.	s	f	verb-final	se fv a	5
15	B2	Chinees	Er zijn vele uitspraken in Nederlands die bestaan niet in Aziatische talen.	Er zijn vele uitspraken in het Nederlands die bestaan niet in Aziatische talen.	Er zijn vele uitspraken in het Nederlands die in Aziatische talen niet bestaan.	s	f	verb-final	se fv a a	5
16	B1+	Russisch	Ik wil verduidelijken dat ik over de mensen die kleine misdaden hebben gepleegd spreek.	Ik wil verduidelijken dat ik over de mensen die kleine misdaden hebben gepleegd spreek.	Ik wil verduidelijken dat ik spreek over de mensen die kleine misdaden hebben gepleegd.	s	pc	post-verbal	se s pc fv	2
17	B1	Spaans	Dat is heel practisch omdat je alle informatie kan hebben in jouw gsm en je hebt geen nodig voor papieren krijgen (dit is ook beter voor het milieu).	Dat is heel praktisch omdat je alle informatie kan hebben in jouw gsm en je hebt geen nodig papier.	Dat is heel praktisch omdat je alle informatie kan hebben in jouw gsm en je hebt geen papier nodig.	m	0	misc	0	2
18	A2	Turks	Mijn vader woont in Bëlgie al twee en half jaar.	Mijn vader woont in Bëlgie al tweeënhalf jaar.	Mijn vader woont al tweeënhalf jaar in Bëlgie.	m	0	misc	0	4
19	A2	Turks	Ik ben afgestudeerd aan de muziekacademie toen ik was op middelbare school.	Ik ben afgestudeerd aan de muziekacademie toen ik zat op de middelbare school.	Ik ben afgestudeerd aan de muziekacademie toen ik op de middelbare school zat.	s	f	verb-final	se s fv a	3
20	A2	Turks	Wij gaan om 07:00 uur op zondag vertrekken naar Brussel.	Wij gaan om 07:00 uur op zondag vertrekken naar Brussel.	Wij gaan op zondag om 07:00 uur vertrekken naar Brussel.	m	0	misc	0	4
21	A2+	Catalaans	Éen ding dat mij uniek maakt is dat ik kan op mensen klimmen, en we kunnen samen menselijke torens maken.	Één ding dat mij uniek maakt is dat ik kan op mensen klimmen.	Één ding dat mij uniek maakt is dat ik op mensen kan klimmen.	s	f	verb-final	se s fv a nfv	4
22	A2+	Catalaans	Ik studeer het Nederlands omdat ik leer graag talen (of ik talen weet graag?), maar ook omdat mijn collega’s op het werk het Nederlands veel spreken.	Ik studeer het Nederlands omdat ik leer graag talen.	Ik studeer het Nederlands omdat ik graag talen leer.	s	f	verb-final	se s fv a o	5
24	A2+	Catalaans	Wat vind ik moeilijk in het Nederlands is het zinstructuur, maar ik ga veel studeren!	Wat vind ik moeilijk in het Nederlands is de zinsstructuur.	Wat ik moeilijk vind in het Nederlands is de zinsstructuur.	s	f	verb-final	se fv s a a	3
25	A2+	Frans	Ik schrijf je om te die last nieuws van de soap tellen.	Ik schrijf je om te je het laatste nieuws van de soap vertellen.	Ik schrijf je om je het laatste nieuws van de soap te vertellen.	s	0	misc	0	2
26	A2+	Frans	Tijdens het etentje, Sam heeft begrijpt dat  Paolo en Anna drie keer per week contact hebben om te Italiaans en Nederlands praktiseren.	Tijdens het etentje Sam heeft begrepen dat Paolo en Anna drie keer per week contact hebben om te Italiaans en Nederlands oefenen.	Tijdens het etentje heeft Sam begrepen dat Paolo en Anna drie keer per week contact hebben om Italiaans en Nederlands te oefenen.	m	f	verb-second	a s fv nfv	4
26	A2+	Frans	Tijdens het etentje, Sam heeft begrijpt dat  Paolo en Anna drie keer per week contact hebben om te Italiaans en Nederlands praktiseren.	Tijdens het etentje Sam heeft begrepen dat Paolo en Anna drie keer per week contact hebben om te Italiaans en Nederlands oefenen.	Tijdens het etentje heeft Sam begrepen dat Paolo en Anna drie keer per week contact hebben om Italiaans en Nederlands te oefenen.	s	0	misc	0	4
28	A2+	Frans	Er zal ruzie tussen Sam en Anna zeker zijn!	Er zal ruzie tussen Sam en Anna zeker zijn!	Er zal zeker ruzie tussen Sam en Anna zijn!	m	0	misc	0	4
