index	original	level	original_spaced_punc	original_no_punc	scrambled	scrambled_final_punc	scrambled_no_punc	verbs_scrambled
0	De meeste mensen deugen.	B1	De meeste mensen deugen .	De meeste mensen deugen	meeste mensen De deugen .	meeste mensen De deugen .	meeste mensen De deugen	De deugen meeste mensen .
1	Het boek kreeg 26 procent van een recordaantal uitgebrachte stemmen (159.905).	B1	Het boek kreeg 26 procent van een recordaantal uitgebrachte stemmen (159.905) .	Het boek kreeg 26 procent van een recordaantal uitgebrachte stemmen (159905)	Het . (159 kreeg een van boek .905) uitgebrachte recordaantal procent stemmen 26	Het (159 kreeg een van boek .905) uitgebrachte recordaantal procent stemmen 26 .	Het (159 kreeg een van boek .905) uitgebrachte recordaantal procent stemmen 26	Het boek 26 procent van een recordaantal uitgebrachte stemmen (159.905 kreeg) .
2	We zijn ontzettend blij met en dankbaar voor de prijs.	B1	We zijn ontzettend blij met en dankbaar voor de prijs .	We zijn ontzettend blij met en dankbaar voor de prijs	de dankbaar voor en . blij prijs We zijn ontzettend met	de dankbaar voor en blij prijs We zijn ontzettend met .	de dankbaar voor en blij prijs We zijn ontzettend met	We ontzettend blij met zijn en dankbaar voor de prijs .
3	Het boek had nooit het licht gezien zonder jullie, de leden en boekenlezers die onze journalistiek mogelijk maken.	B1	Het boek had nooit het licht gezien zonder jullie , de leden en boekenlezers die onze journalistiek mogelijk maken .	Het boek had nooit het licht gezien zonder jullie de leden en boekenlezers die onze journalistiek mogelijk maken	onze leden , had . die het boekenlezers maken Het journalistiek gezien boek licht mogelijk jullie zonder nooit de en	onze leden , had die het boekenlezers maken Het journalistiek gezien boek licht mogelijk jullie zonder nooit de en .	onze leden had die het boekenlezers maken Het journalistiek gezien boek licht mogelijk jullie zonder nooit de en	had Het boek nooit het licht zonder jullie , gezien de leden en boekenlezers die onze journalistiek maken mogelijk .
4	Ook stemden jullie massaal op het boek.	B1	Ook stemden jullie massaal op het boek .	Ook stemden jullie massaal op het boek	op stemden jullie . boek massaal Ook het	op stemden jullie boek massaal Ook het .	op stemden jullie boek massaal Ook het	Ook jullie massaal stemden op het boek .
5	Ontzettend bedankt voor jullie steun!	B1	Ontzettend bedankt voor jullie steun !	Ontzettend bedankt voor jullie steun	jullie bedankt steun ! voor Ontzettend	jullie bedankt steun voor Ontzettend !	jullie bedankt steun voor Ontzettend	Ontzettend voor jullie steun ! bedankt
6	Varen doe je Samen!	B1+	Varen doe je Samen !	Varen doe je Samen	doe Varen ! je Samen	doe Varen je Samen !	doe Varen je Samen	je doe Samen Varen !
7	In samenwerking met de Provincies Fryslân, Groningen en Rijkswaterstaat wordt er voorlichting gegeven over de veiligheid op het water.	B1+	In samenwerking met de Provincies Fryslân , Groningen en Rijkswaterstaat wordt er voorlichting gegeven over de veiligheid op het water .	In samenwerking met de Provincies Fryslân Groningen en Rijkswaterstaat wordt er voorlichting gegeven over de veiligheid op het water	. Rijkswaterstaat Groningen het , In met Fryslân voorlichting op water de er wordt over Provincies veiligheid en de samenwerking gegeven	Rijkswaterstaat Groningen het , In met Fryslân voorlichting op water de er wordt over Provincies veiligheid en de samenwerking gegeven .	Rijkswaterstaat Groningen het In met Fryslân voorlichting op water de er wordt over Provincies veiligheid en de samenwerking gegeven	In samenwerking met de Provincies Fryslân , gegeven Groningen en Rijkswaterstaat er voorlichting wordt over de veiligheid op het water .
8	Veilig varen Tijdens Boot Holland kunnen bezoekers op de stand van Varen doe je Samen!	B1+	Veilig varen Tijdens Boot Holland kunnen bezoekers op de stand van Varen doe je Samen !	Veilig varen Tijdens Boot Holland kunnen bezoekers op de stand van Varen doe je Samen	kunnen Veilig doe Boot bezoekers de Holland varen Samen Varen ! je stand van Tijdens op	kunnen Veilig doe Boot bezoekers de Holland varen Samen Varen je stand van Tijdens op !	kunnen Veilig doe Boot bezoekers de Holland varen Samen Varen je stand van Tijdens op	Veilig Tijdens Boot Holland varen op de kunnen stand van bezoekers Varen je Samen doe !
9	De nadruk ligt op de beschikbaarheid van alternatieve routes ten opzichte van de door beroepsvaart drukbevaren hoofdvaarweg Lemmer-Delfzijl.	B1+	De nadruk ligt op de beschikbaarheid van alternatieve routes ten opzichte van de door beroepsvaart drukbevaren hoofdvaarweg Lemmer-Delfzijl .	De nadruk ligt op de beschikbaarheid van alternatieve routes ten opzichte van de door beroepsvaart drukbevaren hoofdvaarweg Lemmer-Delfzijl	De ligt door . alternatieve opzichte beschikbaarheid op van de Lemmer-Delfzijl de routes nadruk drukbevaren van hoofdvaarweg ten beroepsvaart	De ligt door alternatieve opzichte beschikbaarheid op van de Lemmer-Delfzijl de routes nadruk drukbevaren van hoofdvaarweg ten beroepsvaart .	De ligt door alternatieve opzichte beschikbaarheid op van de Lemmer-Delfzijl de routes nadruk drukbevaren van hoofdvaarweg ten beroepsvaart	De nadruk op drukbevaren de beschikbaarheid van alternatieve routes ligt ten opzichte van de door beroepsvaart hoofdvaarweg Lemmer-Delfzijl .
10	Op de stand zijn watersporters welkom voor praktische tips, brochures en kunnen ze direct in gesprek met vertegenwoordigers van de vaarwegbeheerders (Rijkswaterstaat en provincies Friesland en Groningen).	B1+	Op de stand zijn watersporters welkom voor praktische tips , brochures en kunnen ze direct in gesprek met vertegenwoordigers van de vaarwegbeheerders (Rijkswaterstaat en provincies Friesland en Groningen) .	Op de stand zijn watersporters welkom voor praktische tips brochures en kunnen ze direct in gesprek met vertegenwoordigers van de vaarwegbeheerders (Rijkswaterstaat en provincies Friesland en Groningen)	zijn , Groningen) met vaarwegbeheerders . stand in en gesprek kunnen direct en (Rijkswaterstaat vertegenwoordigers de brochures tips ze voor van watersporters Op de provincies welkom praktische en Friesland	zijn , Groningen) met vaarwegbeheerders stand in en gesprek kunnen direct en (Rijkswaterstaat vertegenwoordigers de brochures tips ze voor van watersporters Op de provincies welkom praktische en Friesland .	zijn Groningen) met vaarwegbeheerders stand in en gesprek kunnen direct en (Rijkswaterstaat vertegenwoordigers de brochures tips ze voor van watersporters Op de provincies welkom praktische en Friesland	Op de stand kunnen watersporters welkom voor praktische tips , brochures en ze direct zijn in gesprek met vertegenwoordigers van de vaarwegbeheerders (Rijkswaterstaat en provincies Friesland en Groningen) .
11	Ook kunnen ze op een (interactieve) vaarkaart van Noord-Nederland hun knelpunten aangeven en bespreken.	B1+	Ook kunnen ze op een (interactieve) vaarkaart van Noord-Nederland hun knelpunten aangeven en bespreken .	Ook kunnen ze op een (interactieve) vaarkaart van Noord-Nederland hun knelpunten aangeven en bespreken	Ook (interactieve) Noord-Nederland aangeven op vaarkaart bespreken ze van . hun knelpunten kunnen en een	Ook (interactieve) Noord-Nederland aangeven op vaarkaart bespreken ze van hun knelpunten kunnen en een .	Ook (interactieve) Noord-Nederland aangeven op vaarkaart bespreken ze van hun knelpunten kunnen en een	Ook ze op een (interactieve) van kunnen Noord-Nederland bespreken aangeven hun knelpunten en vaarkaart .
12	Daarnaast zullen er regionale filmbeelden getoond worden van specifieke situaties op het water, zoals bijvoorbeeld het traject Lemmer – Delfzijl.	B1+	Daarnaast zullen er regionale filmbeelden getoond worden van specifieke situaties op het water , zoals bijvoorbeeld het traject Lemmer – Delfzijl .	Daarnaast zullen er regionale filmbeelden getoond worden van specifieke situaties op het water zoals bijvoorbeeld het traject Lemmer – Delfzijl	– zullen regionale . specifieke het getoond traject Daarnaast er bijvoorbeeld van water Delfzijl worden Lemmer zoals , op situaties het filmbeelden	– zullen regionale specifieke het getoond traject Daarnaast er bijvoorbeeld van water Delfzijl worden Lemmer zoals , op situaties het filmbeelden .	– zullen regionale specifieke het getoond traject Daarnaast er bijvoorbeeld van water Delfzijl worden Lemmer zoals op situaties het filmbeelden	Daarnaast er getoond regionale filmbeelden zullen van specifieke situaties worden op het water , zoals bijvoorbeeld het traject Lemmer – Delfzijl .
13	Boot Holland vormt naar eigen zeggen de aftrap van het watersportseizoen.	B1+	Boot Holland vormt naar eigen zeggen de aftrap van het watersportseizoen .	Boot Holland vormt naar eigen zeggen de aftrap van het watersportseizoen	. watersportseizoen zeggen het vormt naar eigen aftrap de Holland van Boot	watersportseizoen zeggen het vormt naar eigen aftrap de Holland van Boot .	watersportseizoen zeggen het vormt naar eigen aftrap de Holland van Boot	Boot Holland naar eigen zeggen de vormt aftrap van het watersportseizoen .
14	Bij Varen doe je Samen!	B1+	Bij Varen doe je Samen !	Bij Varen doe je Samen	doe Samen je Bij Varen !	doe Samen je Bij Varen !	doe Samen je Bij Varen	Bij je Samen doe Varen !
