index	original	level
0	De meeste mensen deugen.	B1
1	Het boek kreeg 26 procent van een recordaantal uitgebrachte stemmen (159.905).	B1
2	We zijn ontzettend blij met en dankbaar voor de prijs.	B1
3	Het boek had nooit het licht gezien zonder jullie, de leden en boekenlezers die onze journalistiek mogelijk maken.	B1
4	Ook stemden jullie massaal op het boek.	B1
5	Ontzettend bedankt voor jullie steun!	B1
6	Varen doe je Samen!	B1+
7	In samenwerking met de Provincies Fryslân, Groningen en Rijkswaterstaat wordt er voorlichting gegeven over de veiligheid op het water.	B1+
8	Veilig varen Tijdens Boot Holland kunnen bezoekers op de stand van Varen doe je Samen!	B1+
9	De nadruk ligt op de beschikbaarheid van alternatieve routes ten opzichte van de door beroepsvaart drukbevaren hoofdvaarweg Lemmer-Delfzijl.	B1+
10	Op de stand zijn watersporters welkom voor praktische tips, brochures en kunnen ze direct in gesprek met vertegenwoordigers van de vaarwegbeheerders (Rijkswaterstaat en provincies Friesland en Groningen).	B1+
11	Ook kunnen ze op een (interactieve) vaarkaart van Noord-Nederland hun knelpunten aangeven en bespreken.	B1+
12	Daarnaast zullen er regionale filmbeelden getoond worden van specifieke situaties op het water, zoals bijvoorbeeld het traject Lemmer – Delfzijl.	B1+
13	Boot Holland vormt naar eigen zeggen de aftrap van het watersportseizoen.	B1+
14	Bij Varen doe je Samen!	B1+
15	In de centrale arena nabij het Veiligheidsplein zullen door deze partijen dagelijks presentaties worden gehouden over onder andere veiligheid en vaarregels.	B1+
16	Het idee voor FoodDrop ontstaat als Jantine in Groningen op het terras zit en bezorgscooters rijden af en aan ziet rijden.	A2+
17	Dat kan anders, vond ik, en vooral veel duurzamer.	A2+
18	Het leek me logischer om de bezorgdiensten te bundelen: zij bezorgen, restaurants koken.	A2+
19	Zo doet iedereen waar hij of zij goed in is.	A2+
20	Ze studeert op dat moment informatiekunde en weet hoe ze moet programmeren.	A2+
21	Twee weken later heeft ze de basis van het FoodDrop-platform staan en betrekt ze horecaondernemers uit haar netwerk bij haar plan.	A2+
22	Een gesprek met Boudewijn, Mark en Dave, eigenaren van Block & Barrels en Barra.	B1
23	Dit verhaal ging in eerste instantie over ondernemers met een groeiend bedrijf.	B1
24	Maar toen kwam corona.	B1
25	We gingen opnieuw bij de horecamannen op bezoek om te praten over ondernemen in coronatijd.	B1
26	Een driegangendiner aan huis, een interactieve kookshow, noem maar op.	B1
27	Restaurants verzinnen in coronatijd creatieve ideeën om aan het werk te blijven en zichtbaar te zijn.	B1
28	Toch zijn er horecaondernemers die het niet zo aanpakken en zich op een andere manier in de kijker spelen.	B1
