Index	Level	Language	Content	Sentence	Errors	Erroneous_words	Comment
1	A2	Arabisch	Dag Pia! Ik heb heel goed en ik ben verrast door jou berichte! In België woon nu voor twee manden ik. Natuurlijk ben ik altijd koud omdat het weer anders van Libanon is. Ik huur een woonkamer in Leuven maar ik bezoek Brussel, Antwerp en ze zijn heel mooie. Kunnen wandelen wij? Omdat de natuur in Bruges prachtig is. Bovendien wij de musea kunnen bezoeken, ik denk dat de Chocolade museum in Brussel uitstekend is. Kan je de camera zeker meenemen? ik houd van foto's en souvenirs! Tot zien!! Welwillend Joanna	Kunnen wandelen wij?	Kunnen wandelen wij (P) ? Omdat de natuur in Bruges (S)  prachtig is	wij	PV en subject altijd samen.
2	A2	Arabisch	Dag Pia! Ik heb heel goed en ik ben verrast door jou berichte! In België woon nu voor twee manden ik. Natuurlijk ben ik altijd koud omdat het weer anders van Libanon is. Ik huur een woonkamer in Leuven maar ik bezoek Brussel, Antwerp en ze zijn heel mooie. Kunnen wandelen wij? Omdat de natuur in Bruges prachtig is. Bovendien wij de musea kunnen bezoeken, ik denk dat de Chocolade museum in Brussel uitstekend is. Kan je de camera zeker meenemen? ik houd van foto's en souvenirs! Tot zien!! Welwillend Joanna	Bovendien wij de musea kunnen bezoeken, ik denk dat de Chocolade museum in Brussel uitstekend is.	Bovendien wij de musea kunnen (P)  bezoeken, ik denk dat de (W)  Chocolade museum in Brussel uitstekend is	kunnen	De persoonsvorm staat in een hoofdzin op de tweede plaats.
3	B1	Italiaans	1. Ik moet mijn best doen want ik will niet mijn moeder teleurstellen.  2. Paardrijden is mijn aanleg, denk ik.  3. Ik wil een nuttig raad je geven.    1. Mijn ervaring zegt dat ik iedereen kunnen overtuigen.  2.	Ik moet mijn best doen want ik will niet mijn moeder teleurstellen.	Ik moet mijn best doen want ik will (S)  niet (P)  mijn moeder teleurstellen	niet	
4	B1	Italiaans	1. Ik moet mijn best doen want ik will niet mijn moeder teleurstellen.  2. Paardrijden is mijn aanleg, denk ik.  3. Ik wil een nuttig raad je geven.    1. Mijn ervaring zegt dat ik iedereen kunnen overtuigen.  2.	Ik wil een nuttig raad je geven.	Ik wil een nuttig (G)  raad je (P)  geven	je	
5	B2	Russisch	Ik kom uit het land waar de zomervakantie bijna 13 weken kunnen duren en daarom keek ik naar het debat over de vakantie die maar 6-9 weken gaan heel nieuwsgierig.    Ik begrijp bezorgdheden van Wouter Duyck heel goed en ik sta helemaal niet tegen. Momenteel moet er veel bespreken worden en herbekijken, maar ik denk dat er iets ontbreek was. Hij vergat de andere kant van het onderwijs, ouders. Er was veel besproken over leerachterstand, over motivatie en psychologische problemen van leerlingen. Leerkrachten hebben veel moeite mee. Maar het onderwijs is het eerst de samenwerking tussen scholen en ouders. Als er meer ondersteuning naar ouders zou gegeven worden dan zou er betere samenwerking kunnen zijn tussen mentale welzijn van een kind en zijn cognitieve gevolgen. Ouders die zichzelf kwetsbaar in Coronacrisis voelen, kunnen weinig psychologische hulp aan zijn kind aanbieden, kunnen geen motivatieproblemen op te lossen omdat ze in dezelfde situatie zijn.    Ik vind de mening van Dirk van Damme heel slim. Betere spreiding van de onderwijstijd is beter dan heel intentieperiodes met lange pauzes. Zoals hij gezegd heeft, veranderingen in het onderwijs met een impuls van buiten komen. Maar wat, wanneer en hoeveel heeft kind op een bepaalde manier nodig kent allen hun ouder. Ik kreeg altijd voor mijn zomervakantie veel taken mee die ik samen met mijn ouders tijdens 13 weken kon verwerken. Een soort van “zomerschool”. Op dat manier kon ik na de zomervakantie in een korte tijd terug naar het onderwijs system zonder leerachterstand komen. Mijn ouders waren heel gemotiveerd om in mijn leerontwikkeling deel te nemen. En ik ben er veel dankbaar voor. Ik nam boeken mee naar het strand of naar het park, waar ik in een “leukere” manier iets kon leren. Geef de ouders een motivatie en ze zal altijd “voor” een schoolsysteem staan. Er zijn geen problemen zonder oplossingen. Leerkrachten moeten ook rustmomenten genieten. En ze hebben geen lange vakantie waar ze zich volledig emotioneel kunnen invullen voor een nieuwe “cirkel”. Een emotionele uitgeputte leerkracht kan zeker geen voldoende motivatie geven om te leren.     Kinderen, ouders en leerkrachten zijn stukken van een maatschappijpuzzel. Ik durf niet te raden hoelang de vakantie moet duren, maar ik hoop dat onderwijsexperts niet gaan vergeten dat “elk stukje van een puzzel” heel hard werkt en iedereen af en toe voldoende rust moet krijgen.	Ouders die zichzelf kwetsbaar in Coronacrisis voelen, kunnen weinig psychologische hulp aan zijn kind aanbieden, kunnen geen motivatieproblemen op te lossen omdat ze in dezelfde situatie zijn.	Ouders die zichzelf kwetsbaar  (P) in  (√) Coronacrisis (I)  voelen, kunnen weinig psychologische hulp aan zijn  (G) kind aanbieden (W) , kunnen geen motivatieproblemen op te  (F) lossen omdat ze in dezelfde situatie zijn (W)	kwetsbaar	
6	B2	Russisch	Ik kom uit het land waar de zomervakantie bijna 13 weken kunnen duren en daarom keek ik naar het debat over de vakantie die maar 6-9 weken gaan heel nieuwsgierig.    Ik begrijp bezorgdheden van Wouter Duyck heel goed en ik sta helemaal niet tegen. Momenteel moet er veel bespreken worden en herbekijken, maar ik denk dat er iets ontbreek was. Hij vergat de andere kant van het onderwijs, ouders. Er was veel besproken over leerachterstand, over motivatie en psychologische problemen van leerlingen. Leerkrachten hebben veel moeite mee. Maar het onderwijs is het eerst de samenwerking tussen scholen en ouders. Als er meer ondersteuning naar ouders zou gegeven worden dan zou er betere samenwerking kunnen zijn tussen mentale welzijn van een kind en zijn cognitieve gevolgen. Ouders die zichzelf kwetsbaar in Coronacrisis voelen, kunnen weinig psychologische hulp aan zijn kind aanbieden, kunnen geen motivatieproblemen op te lossen omdat ze in dezelfde situatie zijn.    Ik vind de mening van Dirk van Damme heel slim. Betere spreiding van de onderwijstijd is beter dan heel intentieperiodes met lange pauzes. Zoals hij gezegd heeft, veranderingen in het onderwijs met een impuls van buiten komen. Maar wat, wanneer en hoeveel heeft kind op een bepaalde manier nodig kent allen hun ouder. Ik kreeg altijd voor mijn zomervakantie veel taken mee die ik samen met mijn ouders tijdens 13 weken kon verwerken. Een soort van “zomerschool”. Op dat manier kon ik na de zomervakantie in een korte tijd terug naar het onderwijs system zonder leerachterstand komen. Mijn ouders waren heel gemotiveerd om in mijn leerontwikkeling deel te nemen. En ik ben er veel dankbaar voor. Ik nam boeken mee naar het strand of naar het park, waar ik in een “leukere” manier iets kon leren. Geef de ouders een motivatie en ze zal altijd “voor” een schoolsysteem staan. Er zijn geen problemen zonder oplossingen. Leerkrachten moeten ook rustmomenten genieten. En ze hebben geen lange vakantie waar ze zich volledig emotioneel kunnen invullen voor een nieuwe “cirkel”. Een emotionele uitgeputte leerkracht kan zeker geen voldoende motivatie geven om te leren.     Kinderen, ouders en leerkrachten zijn stukken van een maatschappijpuzzel. Ik durf niet te raden hoelang de vakantie moet duren, maar ik hoop dat onderwijsexperts niet gaan vergeten dat “elk stukje van een puzzel” heel hard werkt en iedereen af en toe voldoende rust moet krijgen.	Maar wat, wanneer en hoeveel heeft kind op een bepaalde manier nodig kent allen hun ouder.	Maar wat, wanneer en hoeveel heeft   (P) (√) kind op een bepaalde manier nodig kent  (W) allen  (S) hun  (G) ouder	heeft	Denk aan het artikel.
7	B2	Russisch	Ik kom uit het land waar de zomervakantie bijna 13 weken kunnen duren en daarom keek ik naar het debat over de vakantie die maar 6-9 weken gaan heel nieuwsgierig.    Ik begrijp bezorgdheden van Wouter Duyck heel goed en ik sta helemaal niet tegen. Momenteel moet er veel bespreken worden en herbekijken, maar ik denk dat er iets ontbreek was. Hij vergat de andere kant van het onderwijs, ouders. Er was veel besproken over leerachterstand, over motivatie en psychologische problemen van leerlingen. Leerkrachten hebben veel moeite mee. Maar het onderwijs is het eerst de samenwerking tussen scholen en ouders. Als er meer ondersteuning naar ouders zou gegeven worden dan zou er betere samenwerking kunnen zijn tussen mentale welzijn van een kind en zijn cognitieve gevolgen. Ouders die zichzelf kwetsbaar in Coronacrisis voelen, kunnen weinig psychologische hulp aan zijn kind aanbieden, kunnen geen motivatieproblemen op te lossen omdat ze in dezelfde situatie zijn.    Ik vind de mening van Dirk van Damme heel slim. Betere spreiding van de onderwijstijd is beter dan heel intentieperiodes met lange pauzes. Zoals hij gezegd heeft, veranderingen in het onderwijs met een impuls van buiten komen. Maar wat, wanneer en hoeveel heeft kind op een bepaalde manier nodig kent allen hun ouder. Ik kreeg altijd voor mijn zomervakantie veel taken mee die ik samen met mijn ouders tijdens 13 weken kon verwerken. Een soort van “zomerschool”. Op dat manier kon ik na de zomervakantie in een korte tijd terug naar het onderwijs system zonder leerachterstand komen. Mijn ouders waren heel gemotiveerd om in mijn leerontwikkeling deel te nemen. En ik ben er veel dankbaar voor. Ik nam boeken mee naar het strand of naar het park, waar ik in een “leukere” manier iets kon leren. Geef de ouders een motivatie en ze zal altijd “voor” een schoolsysteem staan. Er zijn geen problemen zonder oplossingen. Leerkrachten moeten ook rustmomenten genieten. En ze hebben geen lange vakantie waar ze zich volledig emotioneel kunnen invullen voor een nieuwe “cirkel”. Een emotionele uitgeputte leerkracht kan zeker geen voldoende motivatie geven om te leren.     Kinderen, ouders en leerkrachten zijn stukken van een maatschappijpuzzel. Ik durf niet te raden hoelang de vakantie moet duren, maar ik hoop dat onderwijsexperts niet gaan vergeten dat “elk stukje van een puzzel” heel hard werkt en iedereen af en toe voldoende rust moet krijgen.	Op dat manier kon ik na de zomervakantie in een korte tijd terug naar het onderwijs system zonder leerachterstand komen.	Op dat  (G) manier kon ik na de zomervakantie in een korte tijd terug naar het onderwijs system (S) (W)   zonder leerachterstand (P)  komen	zonder leerachterstand	Deze prepositiegroep zet je beter na de eindgroep (komen), omdat de rest heel lang is.
8	B1	Frans	Beste Irena, Ik heb je mail met veel aandacht gelezen.  Dat is inderdaad beter dat je niet Kim sport te doen dwingt. Het verplicht sport te doen is een negatieve ervaring voor haar. Dus het risico is dat de sport altijd slecht is.Ik denk dat is een goed idee dat je en jouw dochter naar school fietsen. In onze leven kunnen we altijd meer beoefenen, bij voorbeeld stappen klimmen, lopen of fietsen, en zo voort.  Je kan met computerspellen proberen. Op computerspellen is er gametjes waar je kan dansen and fitnessen.Ik denk dat is ook een goed idee een fitness coach te zien. Het is beter in een kleine sportzaal. En "familie" fitnessclub met vriendelijk mensen.Dat werked wel voor me als het moeilijk schermenclub vinden was. Veel success met jouw dochter. Met vriendelijk groeten, Maud	Dat is inderdaad beter dat je niet Kim sport te doen dwingt.	Dat (W)  is inderdaad beter dat je niet (P)  Kim sport te doen dwingt (P)	niet	
10	B1	Frans	Beste Irena, Ik heb je mail met veel aandacht gelezen.  Dat is inderdaad beter dat je niet Kim sport te doen dwingt. Het verplicht sport te doen is een negatieve ervaring voor haar. Dus het risico is dat de sport altijd slecht is.Ik denk dat is een goed idee dat je en jouw dochter naar school fietsen. In onze leven kunnen we altijd meer beoefenen, bij voorbeeld stappen klimmen, lopen of fietsen, en zo voort.  Je kan met computerspellen proberen. Op computerspellen is er gametjes waar je kan dansen and fitnessen.Ik denk dat is ook een goed idee een fitness coach te zien. Het is beter in een kleine sportzaal. En "familie" fitnessclub met vriendelijk mensen.Dat werked wel voor me als het moeilijk schermenclub vinden was. Veel success met jouw dochter. Met vriendelijk groeten, Maud	Ik denk dat is een goed idee dat je en jouw dochter naar school fietsen.	Ik denk dat (√)  is (P)  een goed idee dat je (W)  en jouw dochter naar school fietsen	is	
11	B1	Frans	Beste Irena, Ik heb je mail met veel aandacht gelezen.  Dat is inderdaad beter dat je niet Kim sport te doen dwingt. Het verplicht sport te doen is een negatieve ervaring voor haar. Dus het risico is dat de sport altijd slecht is.Ik denk dat is een goed idee dat je en jouw dochter naar school fietsen. In onze leven kunnen we altijd meer beoefenen, bij voorbeeld stappen klimmen, lopen of fietsen, en zo voort.  Je kan met computerspellen proberen. Op computerspellen is er gametjes waar je kan dansen and fitnessen.Ik denk dat is ook een goed idee een fitness coach te zien. Het is beter in een kleine sportzaal. En "familie" fitnessclub met vriendelijk mensen.Dat werked wel voor me als het moeilijk schermenclub vinden was. Veel success met jouw dochter. Met vriendelijk groeten, Maud	Ik denk dat is ook een goed idee een fitness coach te zien.	Ik denk dat  (√)  is (P)  ook een goed idee een fitness coach (S)  te zien	is	
